Anzahl;Art;Überberdacht;ÖPNV;Ort;Jahr;Adresse;Projekt;lat;lon
1;A;N;N;Geh;2018;Allerstraße 13;Anlehnbügel 2018 (SenUVK);52.474876;13.423399
1;A;N;N;Geh;2018;Allerstraße 33;Anlehnbügel 2018 (SenUVK);52.474483;13.421933
2;A;N;N;Geh;2018;Allerstraße 44;Anlehnbügel 2018 (SenUVK);52.474922;13.425871
1;A;N;N;Geh;2018;Allerstraße 47;Anlehnbügel 2018 (SenUVK);52.475018;13.426748
1;A;N;N;Geh;2018;Altenbraker Straße 23;Anlehnbügel 2018 (SenUVK);52.46965;13.432808
2;A;N;N;Geh;2018;Anzengruberstraße 14/15;Anlehnbügel 2018 (SenUVK);52.48085;13.4410305
1;A;N;N;Geh;2018;Anzengruberstraße 19;Anlehnbügel 2018 (SenUVK);52.48065;13.43968
1;A;N;N;Geh;2018;Anzengruberstraße 8;Anlehnbügel 2018 (SenUVK);52.480434;13.43991
2;A;N;N;Geh;2018;Bartastraße 12;Anlehnbügel 2018 (SenUVK);52.47462;13.450578
3;A;N;N;Geh;2018;Bartastraße 16;Anlehnbügel 2018 (SenUVK);52.474346;13.450717
2;A;N;N;Geh;2018;Boddinstraße 1;Anlehnbügel 2018 (SenUVK);52.481075;13.434288
2;A;N;N;Geh;2018;Boddinstraße 10;Anlehnbügel 2018 (SenUVK);52.48072;13.431614
3;A;N;N;Geh;2018;Boddinstraße 46;Anlehnbügel 2018 (SenUVK);52.480034;13.429225
2;A;N;N;Geh;2018;Boddinstraße 5;Anlehnbügel 2018 (SenUVK);52.480953;13.433409
2;A;N;N;Geh;2018;Boddinstraße 55;Anlehnbügel 2018 (SenUVK);52.480083;13.4306555
3;A;N;N;Geh;2018;Boddinstraße 55 (Schule);Anlehnbügel 2018 (SenUVK);52.480083;13.4306555
3;A;N;N;Geh;2018;Boddinstraße 55 (Schule);Anlehnbügel 2018 (SenUVK);52.480083;13.4306555
3;A;N;N;Geh;2018;Boddinstraße 8/9;Anlehnbügel 2018 (SenUVK);52.480846;13.432647
2;A;N;N;Geh;2018;Böhmische Straße 27;Anlehnbügel 2018 (SenUVK);52.476257;13.447315
2;A;N;N;Geh;2018;Böhmische Straße 43;Anlehnbügel 2018 (SenUVK);52.474266;13.449216
2;A;N;N;Geh;2018;Bornsdorfer Str. 19;Anlehnbügel 2018 (SenUVK);52.476254;13.437277
2;A;N;N;Geh;2018;Bornsdorfer Str. 23;Anlehnbügel 2018 (SenUVK);52.476044;13.437349
3;A;N;N;Geh;2018;Bornsdorfer Str. 31;Anlehnbügel 2018 (SenUVK);52.475693;13.43747
3;A;N;N;Geh;2018;Bürknerstraße 10;Anlehnbügel 2018 (SenUVK);52.49324;13.42409
1;A;N;N;Geh;2018;Bürknerstraße 17;Anlehnbügel 2018 (SenUVK);52.49297;13.423466
3;A;N;N;Geh;2018;Bürknerstraße 20;Anlehnbügel 2018 (SenUVK);52.493023;13.424093
3;A;N;N;F;2018;Donaustraße 54;Anlehnbügel 2018 (SenUVK);52.478474;13.441979
2;A;N;N;Geh;2018;Donaustraße 81;Anlehnbügel 2018 (SenUVK);52.478462;13.442514
3;A;N;N;F;2018;Elbestraße 1;Anlehnbügel 2018 (SenUVK);52.48289;13.438486
7;A;N;N;F;2018;Elbestraße 1 (Mitttelstreifen);Anlehnbügel 2018 (SenUVK);52.48289;13.438486
5;A;N;N;F;2018;Elbestraße 11;Anlehnbügel 2018 (SenUVK);52.484074;13.441289
