suffix;"obj_id";"osm_user";"feedback"
berlin_neukoelln;"561";"tordans";"Auf der Straße gibt es keine Fahrradbügel. Die nächsten Bügel sind private Bügel direkt vor dem Kita-Gebäude in Hausnummer 17. Mapilary: bDU3eQvYrTSzvLUPxwsuzw"
berlin_neukoelln;"404";"tordans";"An der Straße ist eine Baustelle. Die übrigen Bügel in der Straße konnte ich finden, aber vor dem Haus 37 oder 37B sind die Bügel vermutlich aufgrund der Baustelle abgebaut oder nie aufgebaut worden. Mapillary: aAqv6YEEQf-RI-5sFJyZCQ"
berlin_neukoelln;"391";"tordans";"Auf der Straße und auch in der Nähe am Gehweg konnte ich keine Bügel finden."
berlin_neukoelln;"484";"tordans";"Auf der Straße und auch in der Nähe am Gehweg konnte ich keine Bügel finden."
berlin;"s_Fahrradstaender.9023";"tordans";"An diesem Ort ist eine Mietfahrrad-Station, keine öffentlichen Fahrradständer"
berlin;"s_Fahrradstaender.1682";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1683";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1706";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1707";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1708";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1712";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1713";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1714";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1717";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1718";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
berlin;"s_Fahrradstaender.1747";"gislars";"keine Bügel oder fest verbaute Radständer sichtbar"
